"","Species","GBIF_ID","mean_body_mass"
"1098","Dendromus leucostomus",5706523,7.4
"1099","Dendromus lovati",5219768,12
"1100","Dendromus melanotis",5219775,7.4
"1101","Dendromus mesomelas",5219770,11.8
"1102","Dendromus messorius",5219767,7.685
"1103","Dendromus mystacalis",5219774,7.685
"1104","Dendromus nyasae",5706524,10.6
"1105","Dendromus nyikae",5219769,15
"1106","Dendromus vernayi",5219773,10.6
"1107","Deomys ferrugineus",2438901,57.6
"1108","Dephomys defua",2437937,44.025
"1109","Dephomys eburneae",4264973,52.5
"1110","Desmana moschata",2436117,983.805
"1111","Desmodilliscus braueri",2437685,10
"1112","Desmodillus auricularis",2437723,60.4033333333333
"1113","Desmodus rotundus",2433298,32.245
"1114","Desmomys harringtoni",2438879,89.99
"1115","Diaemus youngi",7388991,36.6
"1116","Dicerorhinus sumatrensis",2440878,1291111.11111111
"1117","Diceros bicornis",5220111,1078646.84666667
"1118","Diclidurus albus",2433092,18.5
"1119","Diclidurus ingens",2433090,12.3
"1120","Diclidurus isabellus",2433093,12.61
"1121","Diclidurus scutatus",2433091,13.62
"1122","Dicotyles pecari",4835308,33500
"1123","Dicrostonyx groenlandicus",2438391,58.91
"1124","Dicrostonyx hudsonius",2438389,57
"1125","Dicrostonyx nelsoni",2438390,58.44
"1126","Dicrostonyx nunatakensis",2438387,58.44
"1127","Dicrostonyx richardsoni",2438386,57.62
"1128","Dicrostonyx torquatus",2438384,73.59
"1129","Dicrostonyx unalascensis",2438385,58.44
"1130","Didelphis albiventris",2439930,927.77874275
"1131","Didelphis aurita",2439928,999.9375
"1132","Didelphis imperfecta",2439929,1030.47
"1133","Didelphis marsupialis",2439920,1325.98093025
"1134","Didelphis pernigra",2439919,1030.47
"1135","Didelphis virginiana",2439923,2423.32600225
"1136","Dinaromys bogdanovi",2438502,56
"1137","Dinomys branickii",2437612,12375
"1138","Diphylla ecaudata",2433173,27.97
"1139","Diplogale hosei",2434672,5452.04
"1140","Diplomesodon pulchellum",2435917,10.5
"1141","Diplomys caniceps",2439804,394.49
"1142","Diplomys labilis",2439803,339.085
"1143","Diplomys rufodorsalis",2439802,144.8
"1144","Dipodillus campestris",4264986,28.195
"1145","Dipodillus dasyurus",4264993,27.55
"1146","Dipodillus simoni",4264983,24.4
"1147","Dipodillus somalicus",4264984,28.4
"1148","Dipodillus stigmonyx",4264990,28.4
"1149","Dipodomys agilis",2439534,60.585
"1150","Dipodomys californicus",2439546,65
"1151","Dipodomys compactus",2439520,49.25
"1152","Dipodomys deserti",2439535,118.4375
"1153","Dipodomys elator",2439549,105.82
"1154","Dipodomys gravipes",2439544,83.96
"1155","Dipodomys heermanni",2439536,63.1125
"1156","Dipodomys ingens",2439550,122.805
"1157","Dipodomys merriami",2439521,39.27625
"1158","Dipodomys microps",2439510,55.84
"1159","Dipodomys nelsoni",2439545,87.93
"1160","Dipodomys nitratoides",2439524,37.8
"1161","Dipodomys ordii",2439541,52.85
"1162","Dipodomys panamintinus",2439513,60.39
"1163","Dipodomys phillipsii",2439519,41
"1164","Dipodomys spectabilis",2439531,129.736666666667
"1165","Dipodomys stephensi",2439542,66.495
"1166","Dipodomys venustus",2439514,82
"1167","Dipus sagitta",2439463,89
"1168","Distoechurus pennatus",2440108,52.12
"1169","Dobsonia anderseni",4265728,276.9
"1170","Dobsonia beauforti",2432831,165.35
"1171","Dobsonia chapmani",2432826,269.61
"1172","Dobsonia crenulata",4265729,229.435
"1173","Dobsonia emersa",2432830,201.06
"1174","Dobsonia exoleta",2432823,302.03
"1175","Dobsonia inermis",2432829,152.6
"1176","Dobsonia magna",4265730,417.15
"1177","Dobsonia minor",2432825,76.9
"1178","Dobsonia moluccensis",2432822,381.925
"1179","Dobsonia pannietensis",2432828,358.35
"1180","Dobsonia peronii",7261753,226.51
"1181","Dobsonia praedatrix",2432821,179.31
"1182","Dobsonia viridis",2432827,240.66
"1183","Dolichotis patagonum",2437619,12500
"1184","Dolichotis salinicola",2437618,1611.65
"1185","Dologale dybowskii",2434115,361.92
"1186","Dorcatragus megalotis",2441197,10918.12
"1187","Dorcopsis atrata",2440144,2300
"1188","Dorcopsis hageni",2440138,5499.99
"1189","Dorcopsis luctuosa",2440145,3798.34709333333
"1190","Dorcopsis muelleri",2440139,5000
"1191","Dorcopsulus macleayi",2440204,2988
"1192","Dorcopsulus vanheurni",2440203,1890.36
"1193","Dremomys everetti",2437277,129.78
"1194","Dremomys gularis",4263959,200.32
"1195","Dremomys lokriah",2437275,199.745
"1196","Dremomys pernyi",2437276,198.63
"1197","Dremomys pyrrhomerus",2437274,200.32
"1198","Dremomys rufigenis",2437278,200.32
"1199","Dromiciops gliroides",2433393,30.4997929233333
"1200","Dryomys laniger",2439686,25.91
"1201","Dryomys nitedula",2439688,26
"1202","Dugong dugon",9729967,375000
"1203","Dusicyon australis",2434452,21083
"1204","Dyacopterus brooksi",4265615,83.05
"1205","Dyacopterus spadiceus",2432776,85
"1206","Dymecodon pilirostris",2436223,15.46
"1207","Echimys chrysurus",5219927,624.995
"1208","Echimys saturnus",5219924,626.89
"1209","Echimys semivillosus",5219920,282.36
"1210","Echinoprocta rufescens",2437596,831.79
"1211","Echinops telfairi",5218434,160.63125
"1212","Echinosorex gymnura",2437114,738.865
"1213","Echymipera clara",2435323,1204.61
"1214","Echymipera davidi",2435327,817.05
"1215","Echymipera echinista",2435322,1204.61
"1216","Echymipera kalubu",2435317,716.29
"1217","Echymipera rufescens",2435324,1095.78
"1218","Ectophylla alba",2433222,5.55
"1219","Eidolon dupreanum",2432850,297.58
"1220","Eidolon helvum",2432851,279.893333333333
"1221","Eira barbara",2433716,4021.2475
"1222","Elaphodus cephalophus",2440983,33500
"1223","Elaphurus davidianus",2440938,177107.501111111
"1224","Elasmodontomys obliquus",2439714,13700
"1225","Elephantulus brachyrhynchus",2440856,45.205
"1226","Elephantulus edwardii",2440847,49.825
"1227","Elephantulus fuscipes",2440843,57
"1228","Elephantulus intufi",2440842,49.85
"1229","Elephantulus myurus",2440855,59.1183333333333
"1230","Elephantulus revoili",2440845,32.49
"1231","Elephantulus rozeti",2440839,47.1033333333333
"1232","Elephantulus rufescens",2440848,54.0625
"1233","Elephantulus rupestris",2440844,62.78
"1234","Elephas maximus",5219461,3631900
"1235","Eligmodontia moreni",5219751,18
"1236","Eligmodontia morgani",5219749,16.5
"1237","Eligmodontia puerulus",5219752,19.45
"1238","Eligmodontia typus",5219750,17.5
"1239","Eliomys melanurus",2439684,118.555
"1240","Eliomys munbyanus",4262915,114.61
"1241","Eliomys quercinus",2439683,93.2033333333333
"1242","Eliurus ellermani",4263423,100
"1243","Eliurus majori",2438529,100
"1244","Eliurus minor",2438527,57.53
"1245","Eliurus myoxinus",2438525,69.76
"1246","Eliurus penicillatus",2438528,100
"1247","Eliurus petteri",4263422,75
"1248","Eliurus tanala",2438526,89.99
"1249","Eliurus webbi",2438524,61.13
"1250","Ellobius fuscocapillus",2438759,80
"1251","Ellobius lutescens",2438762,80
"1252","Ellobius talpinus",2438760,39.5
"1253","Ellobius tancrei",2438758,39
"1254","Emballonura alecto",2433121,5.25
"1255","Emballonura atrata",2433125,4.55
"1256","Emballonura beccarii",2433122,4.31
"1257","Emballonura dianae",2433120,13.21
"1258","Emballonura furax",2433124,15.94
"1259","Emballonura monticola",2433130,5
"1260","Emballonura raffrayana",2433123,5.61
"1261","Emballonura semicaudata",2433126,6.29
"1262","Enchisthenes hartii",4265356,16.99
"1263","Enhydra lutris",2433670,17764.9791666667
"1264","Eoglaucomys fimbriatus",4264118,510
"1265","Eolagurus luteus",2438165,26
"1266","Eonycteris major",2432967,80.85
"1267","Eonycteris robusta",4265634,78.36
"1268","Eonycteris spelaea",2432968,54.5833333333333
"1269","Eospalax fontanierii",4264687,256.76
"1270","Eothenomys cachinus",4265027,19.59
"1271","Eothenomys melanogaster",2438894,19.59
"1272","Eothenomys miletus",4265026,19.59
"1273","Episoriculus caudatus",2435883,8.94
"1274","Episoriculus fumidus",2435892,6.95
"1275","Episoriculus leucops",2435888,9.35
"1276","Epixerus ebii",2437272,460
"1277","Epomophorus angolensis",2432786,88.75
"1278","Epomophorus crypturus",4265714,87.52
"1279","Epomophorus gambianus",2432790,80
"1280","Epomophorus grandis",2432788,49.42
"1281","Epomophorus labiatus",2432791,69.65
"1282","Epomophorus minor",4265716,57.205
"1283","Epomophorus wahlbergi",2432787,83.3975
"1284","Epomops buettikoferi",2432803,135.67
"1285","Epomops dobsonii",2432801,122.08
"1286","Epomops franqueti",2432802,118.99
"1287","Eptesicus andinus",4266016,9.2
"1288","Eptesicus bobrinskoi",2432355,7.725
"1289","Eptesicus bottae",2432346,15.66
"1290","Eptesicus brasiliensis",2432368,9.2
"1291","Eptesicus chiriquinus",4265994,9.2
"1292","Eptesicus diminutus",2432372,5.99
"1293","Eptesicus dimissus",4266017,13.03
"1294","Eptesicus floweri",2432374,7.2
"1295","Eptesicus furinalis",2432362,7.7
"1296","Eptesicus fuscus",2432352,17.37375
"1297","Eptesicus gobiensis",7261813,13
"1298","Eptesicus guadeloupensis",2432351,18.99
"1299","Eptesicus hottentotus",2432363,30.33
"1300","Eptesicus innoxius",2432353,7.49
"1301","Eptesicus japonensis",4265974,13
"1302","Eptesicus kobayashii",2432364,14.53
"1303","Eptesicus matroka",4266014,6.57
"1304","Eptesicus nasutus",2432365,7.91
"1305","Eptesicus nilssonii",7261816,13
"1306","Eptesicus pachyotis",2432378,8.1
"1307","Eptesicus platyops",2432367,18.2
"1308","Eptesicus regulus",2432347,5
"1309","Eptesicus serotinus",2432359,19.8
"1310","Eptesicus tatei",2432361,13.65
"1311","Equus asinus",2440891,202617.595341667
"1312","Equus burchelli",2440885,257000
"1313","Equus caballus",2440886,312682.500666667
"1314","Equus grevyi",2440894,388000
"1315","Equus hemionus",2440893,230000
"1316","Equus kiang",2440887,268750
"1317","Equus quagga",2440892,285000
"1318","Equus zebra",2440888,294000
"1319","Eremitalpa granti",2432155,24.45
"1320","Eremodipus lichtensteini",2439457,51
"1321","Erethizon dorsatum",6066824,6977.23882866667
"1322","Erethizon dorsatus",6066824,8403.24333333333
"1323","Erignathus barbatus",2434816,287777.776666667
"1324","Erinaceus amurensis",5219617,774.475
"1325","Erinaceus concolor",5219624,757.925
"1326","Erinaceus europaeus",5219616,775.675
"1327","Erinaceus roumanicus",5219618,771
"1328","Erophylla bombifrons",2433151,16.1
"1329","Erophylla sezekorni",2433150,16.1
"1330","Erythrocebus patas",2436548,6480.125
"1331","Eschrichtius robustus",2440704,26900000
"1332","Eubalaena australis",2440332,37666666.6666667
"1333","Eubalaena glacialis",2440339,26638546.23
"1334","Eubalaena japonica",9747921,23000000
"1335","Euderma maculatum",2432579,16.17
"1336","Eudiscopus denticulus",2432561,7.2
"1337","Eudorcas rufifrons",7261425,20005.5
"1338","Eudorcas rufina",4262625,27000
"1339","Eudorcas thomsonii",7261427,24399.2233333333
"1340","Eulemur albifrons",9131667,2426.29
"1341","Eulemur albocollaris",4266930,2408.185
"1342","Eulemur cinereiceps",4266932,2419
"1343","Eulemur collaris",9812996,2419
"1344","Eulemur coronatus",2436422,1663.28333333333
"1345","Eulemur fulvus",9092265,2429.75
"1346","Eulemur macaco",2436420,2473.07166666667
"1347","Eulemur mongoz",2436418,1675.18833333333
"1348","Eulemur rubriventer",2436421,1978.415
"1349","Eulemur rufus",4266934,2406.81
"1350","Eulemur sanfordi",4266929,2406.515
"1351","Eumetopias jubatus",2433462,410266.691111111
"1352","Eumops auripendulus",2432990,28.49
"1353","Eumops bonariensis",2432996,12.22
"1354","Eumops dabbenei",2432989,58.5
"1355","Eumops glaucinus",2432991,36.4
"1356","Eumops hansae",2432995,15.47
"1357","Eumops maurus",2432992,20.66
"1358","Eumops patagonicus",7261927,12.22
"1359","Eumops perotis",2432993,56.25
"1360","Eumops trumbulli",4266572,56.5
"1361","Eumops underwoodi",2432994,59.835
"1362","Euneomys chinchilloides",2438876,67.9425
"1363","Euneomys fossor",2438874,56.9
"1364","Euneomys mordax",2438877,81.99
"1365","Euneomys petersoni",2438875,75.57
"1366","Euoticus elegantulus",2436514,271
"1367","Euoticus pallidus",2436513,277.37
"1368","Eupetaurus cinereus",2437468,2521.1
"1369","Euphractus sexcinctus",2440799,5840.66982775
"1370","Eupleres goudotii",2433512,2881.67
"1371","Euroscaptor klossi",2436221,60.46
"1372","Euroscaptor longirostris",2436220,60.46
"1373","Euroscaptor micrura",2436217,60.46
"1374","Euroscaptor mizura",2436213,25.05
"1375","Euroscaptor parvidens",2436218,60.46
"1376","Euryzygomatomys spinosus",2439737,187.49
"1377","Exilisciurus concinnus",2437388,27.72
"1378","Exilisciurus exilis",2437386,18.175
"1379","Exilisciurus whiteheadi",2437387,24.91
"1380","Falsistrellus mackenziei",4266082,23
"1381","Falsistrellus mordax",4266080,10.46
"1382","Falsistrellus petersi",4266078,9.05
"1383","Falsistrellus tasmaniensis",4266081,22.54
"1384","Felis bieti",2435040,5486.95
"1385","Felis catus",2435035,4236.54
"1386","Felis chaus",2435066,10000
"1387","Felis manul",2435023,3500
"1388","Felis margarita",2435028,2750
"1389","Felis nigripes",2435037,1987.5
"1390","Felis silvestris",7964291,4549.135
"1391","Felovia vae",2439823,205
"1392","Feresa attenuata",2440530,151500
"1393","Feroculus feroculus",2435791,35.99
"1394","Fossa fossana",2433529,1798.495
"1395","Funambulus palmarum",2437246,136.4
"1396","Funambulus pennantii",2437243,125.07
"1397","Funambulus sublineatus",2437247,70.93
"1398","Funambulus tristriatus",2437245,134.62
"1399","Funisciurus anerythrus",2437413,166.333333333333
"1400","Funisciurus bayonii",2437419,134.99
"1401","Funisciurus carruthersi",2437416,276.85
"1402","Funisciurus congicus",2437412,112.15
"1403","Funisciurus isabella",2437415,84.655
"1404","Funisciurus lemniscatus",2437418,117.995
"1405","Funisciurus leucogenys",2437414,250
"1406","Funisciurus pyrropus",2437411,257.845
"1407","Funisciurus substriatus",2437417,185.73
"1408","Furipterus horrens",2432769,3.15
"1409","Galago alleni",2436523,277.615
"1410","Galago cameronensis",4267288,277.615
"1411","Galago demidoff",4267292,65.55
"1412","Galago gabonensis",4267284,277.615
"1413","Galago gallarum",2436521,192.2
"1414","Galago granti",4267280,181.85
"1415","Galago matschiei",2436519,192.2
"1416","Galago moholi",2436522,174.792487925
"1417","Galago nyasae",4267281,180
"1418","Galago senegalensis",9198359,187.025
"1419","Galago thomasi",4267291,63.8
"1420","Galago zanzibaricus",4267283,171.5
"1421","Galagoides demidoff",2436517,62.2476021666667
"1422","Galagoides zanzibaricus",2436516,141.9384309
"1423","Galea flavidens",5219700,450
"1424","Galea musteloides",5219699,351.68125
"1425","Galea spixii",5219701,420.203333333333
"1426","Galemys pyrenaicus",5219516,60.735
"1427","Galenomys garleppi",2438414,59.3
"1428","Galeopterus variegates",4266848,1056.1
"1429","Galerella flavescens",5219130,750
"1430","Galerella pulverulenta",5219126,666.5
"1431","Galerella sanguinea",5219098,502.45
"1432","Galictis cuja",5218901,1000
"1433","Galictis vittata",5218906,2325
"1434","Galidia elegans",2433507,800
"1435","Galidictis fasciata",5218783,549.99
"1436","Galidictis grandidieri",5218782,1400
"1437","Gazella arabica",5220158,24124.67
"1438","Gazella bennettii",5220147,22278.415
"1439","Gazella cuvieri",5220148,18449.6116666667
"1440","Gazella dorcas",5220149,26245.49
"1441","Gazella gazella",5220154,27147.745
"1442","Gazella granti",5220144,45000
"1443","Gazella leptoceros",5220150,36572.875
"1444","Gazella saudiya",5220151,32185.735
"1445","Gazella spekei",5220157,20000
"1446","Gazella subgutturosa",5220146,32210.17125
"1447","Gazella thomsoni",5220152,20900
"1448","Genetta abyssinica",5219361,1405.48
"1449","Genetta angolensis",5219351,1859.64
"1450","Genetta cristata",5219349,1519.535
"1451","Genetta genetta",5219362,1866.69
"1452","Genetta johnstoni",5219352,2225
"1453","Genetta maculata",5219355,2225
"1454","Genetta pardina",5219360,1820
"1455","Genetta piscivora",5219350,1648.05
"1456","Genetta poensis",5219354,1820
"1457","Genetta servalina",5219342,1175.84
"1458","Genetta thierryi",5219353,1400
"1459","Genetta tigrina",5219356,1774.75
"1460","Genetta victoriae",5219348,2743.69
"1461","Geocapromys brownii",2437650,1739
"1462","Geocapromys ingrahami",2437651,754.26
"1463","Geocapromys thoracatus",2437649,1500
"1464","Geogale aurita",2432151,6.8
"1465","Geomys arenarius",2439372,200.375
"1466","Geomys attwateri",2439371,176.7
"1467","Geomys breviceps",2439376,176.7
"1468","Geomys bursarius",2439378,184.3125
"1469","Geomys knoxjonesi",2439373,176.7
"1470","Geomys personatus",2439375,397
"1471","Geomys pinetis",2439377,197.875
"1472","Geomys texensis",2439370,176.7
"1473","Geomys tropicalis",2439374,397
"1474","Georychus capensis",5219653,185.67
"1475","Geoxus valdivianus",2438116,30.8
"1476","Gerbilliscus afra",4264940,84.89125
"1477","Gerbilliscus brantsii",4264943,82.205
"1478","Gerbilliscus guineae",4264949,102.5
"1479","Gerbilliscus inclusus",4264946,124.75
"1480","Gerbilliscus kempi",7962917,113
"1481","Gerbilliscus leucogaster",4264948,145.7
"1482","Gerbilliscus nigricaudus",4264945,118.5
"1483","Gerbilliscus phillipsi",4264941,127.07
"1484","Gerbilliscus robustus",4264947,94.495
"1485","Gerbilliscus validus",4264944,113
"1486","Gerbillurus paeba",2438751,31.2
"1487","Gerbillurus setzeri",2438753,42.35
"1488","Gerbillurus tytonis",2438752,29.845
"1489","Gerbillurus vallinus",2438750,37.91
"1490","Gerbillus agag",2437833,28.345
"1491","Gerbillus amoenus",2437812,26.95
"1492","Gerbillus andersoni",2437786,31.4
"1493","Gerbillus aquilus",2437837,35.675
"1494","Gerbillus cheesmani",2437830,35.675
"1495","Gerbillus floweri",2437804,39.9
"1496","Gerbillus garamantis",2437796,28.4
"1497","Gerbillus gerbillus",2437787,29.3483333333333
"1498","Gerbillus gleadowi",2437838,26.055
"1499","Gerbillus grobbeni",2437816,28.4
"1500","Gerbillus henleyi",2437800,9.85
"1501","Gerbillus hesperinus",2437791,39.9
"1502","Gerbillus latastei",2437810,28.345
"1503","Gerbillus nanus",2437788,25.1
"1504","Gerbillus nigeriae",2437839,29.7
"1505","Gerbillus perpallidus",2437809,52.9
"1506","Gerbillus pusillus",2437822,12.5875
"1507","Gerbillus pyramidum",2437811,42.2125
"1508","Gerbillus tarabuli",2437840,39.9
"1509","Gerbillus vivax",2437829,27.6
"1510","Giraffa camelopardalis",2441205,825006.1483
"1511","Giraffe camelopardalis",2441205,750000
"1512","Glaucomys sabrinus",2437331,134.5075
"1513","Glaucomys volans",2437338,64.5125
"1514","Glauconycteris alboguttata",4266157,9.05
"1515","Glauconycteris argentata",4266162,9.3
"1516","Glauconycteris beatrix",4266153,7.5
"1517","Glauconycteris egeria",4266163,8.41
"1518","Glauconycteris gleni",4266154,10.81
"1519","Glauconycteris humeralis",4266159,5.49
"1520","Glauconycteris kenyacola",4266164,7.17
"1521","Glauconycteris poensis",4266160,6.91
"1522","Glauconycteris superba",4266165,15
"1523","Glauconycteris variegata",4266156,11.25
"1524","Glironia venusta",2439986,140
"1525","Glirulus japonicus",2439681,37.2
"1526","Glis glis",5706486,141.11125
"1527","Glischropus javanus",2432513,5.37
"1528","Glischropus tylopus",2432514,4.445
"1529","Globicephala macrorhynchus",2440605,1708666.66666667
"1530","Globicephala melas",2440596,1058371.831
"1531","Glossophaga commissarisi",2433193,9.3
"1532","Glossophaga leachii",2433195,10.7
"1533","Glossophaga longirostris",2433192,12.2
"1534","Glossophaga morenoi",2433196,8.54
"1535","Glossophaga soricina",2433194,9.4625
"1536","Glyphonycteris behnii",4265379,14.53
"1537","Glyphonycteris daviesi",4265381,18.61
"1538","Glyphonycteris sylvestris",4265380,8.91
"1539","Glyphotes simus",2437466,52.53
"1540","Golunda ellioti",2438299,58.465
"1541","Gorilla beringei",7262070,139842
"1542","Gorilla gorilla",2436441,131779.387222222
"1543","Gracilinanus aceramarcae",2439854,21.75
"1544","Gracilinanus agilis",2439852,21.75
"1545","Gracilinanus agricolai",2439853,10
"1546","Gracilinanus dryas",2439849,18.265
"1547","Gracilinanus emiliae",2439851,10
"1548","Gracilinanus formosus",2439855,22.88
"1549","Gracilinanus marica",2439859,16.9
"1550","Gracilinanus microtarsus",2439856,18.75
"1551","Grammomys aridulus",2439199,37.01
"1552","Grammomys buntingi",2439196,43.7
"1553","Grammomys cometes",2439195,44.35
"1554","Grammomys dolichurus",2439202,54.5666666666667
"1555","Grammomys ibeanus",2439201,41.19
"1556","Grammomys kuru",4264883,53
"1557","Grammomys macmillani",2439197,37.01
"1558","Grammomys minnae",2439204,35.99
"1559","Grammomys poensis",4264884,51.515
"1560","Grampus griseus",5220027,425000
"1561","Graomys centralis",4265035,68.86
"1562","Graomys domorum",2438230,68.86
"1563","Graomys edithae",2438232,40.4
"1564","Graomys griseoflavus",2438231,68.86
"1565","Graphiurus angolensis",5706487,46.1
"1566","Graphiurus johnstoni",5706488,24
"1567","Graphiurus kelleni",5219905,10.5
"1568","Graphiurus microtis",5219915,24
"1569","Graphiurus murinus",5219911,28.8
"1570","Graphiurus nagtglasii",5706489,30
"1571","Graphiurus ocularis",5219907,68.3
"1572","Graphiurus platyops",5219908,46.1
"1573","Graphiurus rupicola",5219913,46.1
"1574","Gulo gulo",5219073,14473.8006325
"1575","Gymnobelideus leadbeateri",2440054,143.81339105
"1576","Gymnuromys roberti",2438764,97.5
"1577","Habromys chinanteco",2438988,40
"1578","Habromys ixtlani",4265159,84.99
"1579","Habromys lepturus",2438989,84.99
"1580","Habromys lophorus",2438987,27
"1581","Habromys lophurus",2438987,40
"1582","Habromys simulatus",2438990,40
"1583","Haeromys margarettae",2438870,14.04
"1584","Haeromys pusillus",2438869,11.49
"1585","Halichoerus grypus",2434806,206140.003333333
"1586","Handleyomys fuscatus",4265181,49.5
"1587","Handleyomys intectus",4265180,60.5
"1588","Hapalemur alaotrensis",4266941,1275.105
"1589","Hapalemur aureus",2436415,1476.205
"1590","Hapalemur griseus",2436414,1075.90333333333
"1591","Hapalemur occidentalis",4266942,1202.71
"1592","Hapalomys delacouri",2438767,70
"1593","Hapalomys longicaudatus",2438766,70
"1594","Haplonycteris fischeri",2432937,18.0416666666667
"1595","Harpiocephalus harpia",2432380,13.65
"1596","Harpiocephalus mordax",4266052,16.87
"1597","Harpyionycteris celebensis",2432841,126.125
"1598","Harpyionycteris whiteheadi",2432840,135.48
"1599","Heimyscus fumosus",2438925,17.2
"1600","Helarctos malayanus",2433403,46000
"1601","Heliophobius argenteocinereus",2437220,88.5
"1602","Heliosciurus gambianus",2437541,248.36
"1603","Heliosciurus mutabilis",2437544,326.5
"1604","Heliosciurus punctatus",2437542,211.105
"1605","Heliosciurus rufobrachium",2437540,294.333333333333
"1606","Heliosciurus ruwenzorii",2437543,291
"1607","Heliosciurus undulatus",2437539,326.5
"1608","Helogale hirtula",2434159,484.63
"1609","Helogale parvula",2434165,274.8
"1610","Hemibelideus lemuroides",2440060,1018
"1611","Hemicentetes nigriceps",2432142,113.3
"1612","Hemicentetes semispinosus",2432143,148
"1613","Hemiechinus auritus",2437125,363
"1614","Hemiechinus collaris",2437124,342
"1615","Hemigalus derbyanus",2434623,2387.5
"1616","Hemitragus hylocrius",5220175,79864.4016666667
"1617","Hemitragus jayakari",5220173,22210.18
"1618","Hemitragus jemlahicus",5220174,44465.3006
"1619","Herpailurus yagouarondi",2435156,6500
"1620","Herpestes brachyurus",2434300,1396.16
"1621","Herpestes edwardsi",2434286,1004
"1622","Herpestes fuscus",2434249,519.6
"1623","Herpestes ichneumon",2434255,2906.67
"1624","Herpestes javanicus",2434271,746.5
"1625","Herpestes naso",2434299,3002.08
"1626","Herpestes semitorquatus",2434296,1396.16
"1627","Herpestes smithii",2434267,1702.5
"1628","Herpestes urva",2434244,1993.4475
"1629","Herpestes vitticollis",2434293,2282.5
"1630","Hesperoptenus blanfordi",2432533,6.91
"1631","Hesperoptenus doriae",2432532,9.74
"1632","Hesperoptenus gaskelli",2432530,9.4
"1633","Hesperoptenus tickelli",2432531,16.3
"1634","Hesperoptenus tomesi",2432529,20.66
"1635","Heterocephalus glaber",5219654,35.075
"1636","Heterohyrax brucei",2437073,2078.13333333333
"1637","Heteromys anomalus",2439570,69.3
"1638","Heteromys australis",2439568,267.49
"1639","Heteromys desmarestianus",2439574,72.9
"1640","Heteromys gaumeri",2439572,60.295
"1641","Heteromys goldmani",2439569,79.5
"1642","Heteromys irroratus",9259279,48.1
"1643","Heteromys nelsoni",2439573,76.275
"1644","Heteromys oresterus",2439571,79.45
"1645","Heteromys salvini",9567667,43.8
"1646","Hexaprotodon liberiensis",2441249,215000
"1647","Hippocamelus antisensis",2440980,68599.675
"1648","Hippocamelus bisulcus",2440981,69620.405
"1649","Hippopotamus amphibius",2441247,2744000
"1650","Hipposideros abae",5218580,31.87
"1651","Hipposideros armiger",5218572,49.99
"1652","Hipposideros ater",5218565,7.125
"1653","Hipposideros beatus",5218602,6.7
"1654","Hipposideros bicolor",5218592,8.39
"1655","Hipposideros breviceps",5218584,13.21
"1656","Hipposideros caffer",5218575,9.23
"1657","Hipposideros calcaratus",5218568,18.99
"1658","Hipposideros camerunensis",5218560,58.98
"1659","Hipposideros cervinus",5218596,8.4025
"1660","Hipposideros cineraceus",5218587,3.84
"1661","Hipposideros commersoni",5218577,104.4975
"1662","Hipposideros coronatus",5218563,15
"1663","Hipposideros corynophyllus",5218554,15.07
"1664","Hipposideros coxi",5218599,21.82
"1665","Hipposideros crumeniferus",5218590,21.82
"1666","Hipposideros curtus",5218581,13.21
"1667","Hipposideros cyclops",5218573,33.46
"1668","Hipposideros demissus",5706865,46.9
"1669","Hipposideros diadema",5218566,42.05
"1670","Hipposideros dinops",5218557,116.08
"1671","Hipposideros doriae",5218603,4.24
"1672","Hipposideros durgadasi",5706909,3.84
"1673","Hipposideros dyacorum",5218593,10.09
"1674","Hipposideros fuliginosus",5218569,31.11
"1675","Hipposideros fulvus",5218561,7.46333333333333
"1676","Hipposideros galeritus",5218606,8.9175
"1677","Hipposideros gigas",5706915,115.42
"1678","Hipposideros grandis",5706907,19.95
"1679","Hipposideros halophyllus",5218597,4
"1680","Hipposideros inexpectatus",5218588,136.34
"1681","Hipposideros inornatus",5706883,40.45
"1682","Hipposideros jonesi",5218578,5.49
"1683","Hipposideros lamottei",5218570,24.9
"1684","Hipposideros lankadiva",5218555,48.38
"1685","Hipposideros larvatus",5218600,19.95
"1686","Hipposideros lekaguli",5218582,31.08
"1687","Hipposideros lylei",5218574,62.19
"1688","Hipposideros macrobullatus",5218567,8.39
"1689","Hipposideros madurae",7261706,19.95
"1690","Hipposideros maggietaylorae",5218558,17.15
"1691","Hipposideros marisae",5218604,10.09
"1692","Hipposideros megalotis",5218594,7.2
"1693","Hipposideros muscinus",5218585,14.09
"1694","Hipposideros nequam",5218576,14.09
"1695","Hipposideros obscurus",5218562,9.6
"1696","Hipposideros papua",5218598,18.99
"1697","Hipposideros pelingensis",5706881,116.08
"1698","Hipposideros pomona",5218589,7.295
"1699","Hipposideros pratti",5218579,84.38
"1700","Hipposideros pygmaeus",5218571,3.53
"1701","Hipposideros ridleyi",5218564,9.59
"1702","Hipposideros ruber",5218556,10.035
"1703","Hipposideros semoni",5218583,14
"1704","Hipposideros speoris",5218559,10.39
"1705","Hipposideros stenotis",5218605,12
"1706","Hipposideros sumbae",7261716,19.95
"1707","Hipposideros thomensis",5706910,109.995
"1708","Hipposideros turpis",5218595,33.31
"1709","Hipposideros wollastoni",5218586,6.93
"1710","Hippotragus equinus",2441030,239500
"1711","Hippotragus leucophaeus",2441032,225000
"1712","Hippotragus niger",2441031,225000
